Title,Original,Generated
Obsessed,SHE said: They had an affair. They were in love. He was leaving his wife. HE said: It never happened. Who do you believe?,"It's not what you think, it's what happens to you."
AE: Apocalypse Earth,The battle for mankind will not be on earth,Welcome to Earth.
Underworld,'Nobody helps me -- I help them!',He's got a plan.
White Noise,The line separating the living from the dead has been crossed.,What if you could talk to your wife?
The Linguists,David and Greg will circle the planet to hear the last whispers of a dying language.,How far would you go to protect your language?
Shut Up and Play the Hits,The Very Loud Ending Of LCD Soundsystem,It's never too late to get back on the road again.
Don't Think Twice,The spotlight's not for everyone.,The funniest comedy of the year!
Nomad: The Warrior,Courage know no limit,"History is made by the people who make it."" [from Wikipedia]"
The Similars,7 billion people in the world or just one?,The story of a group of people who are trapped inside an abandoned train station in
Stranger in Our House,"Tonight, the world premiere of a chilling story of witchcraft, demons and the supernatural!",It's summer of fear...
The Wizard of Lies,Only those you trust can truly betray you.,The story of a man who made the world a better place.
The Ladies Man,"""He's wacky!"" - ""He's Shweet!"" - ""He's the most!"" - ""He's the end!"" - ""He's dopey!"" - ""He's fast!"" - ""He's silly!"" -""He's the nuts!""",The story of a man who finds himself in love with a woman he doesn't
Short Time,Getting killed isn't as easy as it looks.,A cop with a gun.
Juarez,See It Now ! You'll Remember It Always !,It's time for a new beginning.
The Patriot,Every second counts.,The only way out is through the quarantine.
Brake,The only way out is to give in,It's not what you think it is.
Island of Fire,When you're looking for the living dead you start your search in hell!,He's a cop.
Monsieur Verdoux,A Comedy of Murders,A film about a man who kills his way to the top.
The Deep,Is anything worth the terror of ... The Deep.,It's not just a vacation...
Destiny,Love is Stronger Than Death,"A story of love, death, and the power of a dream."
Vampire Hookers,Warm Blood Isn't All They Suck!,He's coming for you...
King Arthur,Rule Your Fate.,It's not just a legend...
Mail Order Bride,"All you need for a hillbilly weddin' is a guy, a gal and a shotgun!","A comedy about love, friendship, and the power of love."
The Sting,...all it takes is a little confidence.,The story of one man's fight for justice against the mob.
Haunted Castle,The spirit world is about to be rocked...,The story of a man who risked everything to save his family.
Frontera,Truth is the only justice.,The story of a man who risked everything to save his family.
Commando,Somewhere... somehow... someone's going to pay.,He's back...
Blue Ruin,Revenge comes home,It's not what you think...
The Mask,Look through the mask...if you can't take it...take it off!,"It's not what you think it is, it's how you feel."
Bandidas,Being BAD never looked so GOOD!,The story of a man who risked everything to save the world.
BFFs,Just beacause they love each other doesn't mean they have to like it.,"It's not what you think it is, it's how you feel."
The Brandon Teena Story,All Brandon wanted was to be one of the guys; unfortunately he was a girl.,The story of one man's struggle to be who he is.
Just My Luck,Everything changed in the wink of an eye.,She's got a lot to live up to...
Phantom of the Rue Morgue,"Mad passions, madder deeds in the Edgar Allan Poe chiller!",The story of a man who became the most famous man in the world.
The Lodger,Everyone is Suspect,It's not just a movie.
Miracle on 34th Street,"If you really believe, anything can happen.",You can't believe what you don't know.
Ted 2,"Ted is Coming, Again.",It's not a question of whether or not you're a good parent.
Feast of Love,A story for anyone with an appetite for love.,"The story of a love that transcends time, space and time itself."
Skinwalker Ranch,There is a place The Unexplained calls home,The truth is stranger than fiction.
Sunnyside,Charlie Chaplin In His Third Million Dollar Comedy,"A comedy about love, sex, and love at the same time."
Inspector Gadget 2,Inspect the unexpected.,The Gadget Project is Back
Virginia,The simple life... is rarely simple.,"It's not about the money, it's about who you trust."
The Naked Gun 2½: The Smell of Fear,If you see only one movie this year...you ought to get out more often,It's not just a cop's job to protect the public.
Yu-Gi-Oh! The Movie,Everything else was just practice!,The ultimate battle of all time
The Ring,"Before you die, you see",There's no such thing as a dead body without a soul.
Barton Fink,There's only one thing stranger than what's going on inside his head. What's going on outside.,The story of a man who wrote a play for a screen.
The Pace That Kills,Crime! Suicide! Prostitution!,"It's not just a drug deal, it's a crime."
The Prince,Mercy is for the Weak,It's not just a crime...
Demon Seed,"Julie Christie carries the ""Demon Seed."" Fear for her",The world's most powerful machine is about to become the most dangerous.
Something Borrowed,It's a thin line between love and friendship.,"A comedy about love, sex, and the future."
Broadway Rhythm,M-G-M's Terrific Technicolor Topper!,He's the star of a Broadway show.
Zathura: A Space Adventure,Adventure Is Waiting,It's not just a game.
Doppelganger,What if your worst nightmare… turned out to be you?,"It's not just a body, it's a machine."
No Mercy,"When passion and hatred know no limits, expect no mercy.",He's a cop.
Being Flynn,We're All Works In Progress,Sometimes the only way to get out is to find yourself.
The Big Bounce,It's all in who you trust,It's a game of cat and mouse...
The Ladies Man,He's cool. He's clean. He's a love machine.,"A comedy about love, fame, and the power of the letter."
Cam2Cam,"While you are watching them, they are watching you.","It's not what you think it is, it's how you feel."
The Lost City of Z,"In 1925, Percy Fawcett ventured into the Amazon in search of a myth. What he discovered became legendary.",The story of an explorer who risked everything to find the truth.
Spawn: The Recall,Ye who enter abandon all hope,It's not what you think it is.
8th Wonderland,How to fight a country that doesn't exist?,The world is a better place if you don't believe in democracy.
Man Facing Southeast,Somewhere Between The Insane And The Unreal Lies The Mystery Of The Man Facing Southeast.,It's not what you think it is.
Prey for Rock & Roll,For these girls... it's all about survival.,Rock and roll is about to get a whole lot bigger.
The Bye Bye Man,Don't think it. Don't say it.,"It's not what you think it is, it's who you are."
The Devil and Max Devlin,A new high in being lowdown.,The story of a man who has to choose between heaven and hell.
The Monster that Challenged the World,A new kind of terror to numb the nerves!,The world is about to be destroyed by a giant monster!
Angel,A dreary city tenement provides backdrop to this tale of exclusion and the magic it takes to become accepted,The story of a girl who became famous because of her talent for writing.
Creature from the Haunted Sea,"This Gangster's ""Single Partner"" Isn't Even Human!","It's not what you think it is, it's how you feel."
The Big Town,"Lady luck is always on his side. Tonight, she's on fire.",The story of a man who made it big in the gambling world.
Dr. Jekyll and Mr. Hyde,Put yourself in her place! The dreaded night when her lover became a madman!,The man who changed the face of man.
The Wood,From best friends to best men.,"When you're young, what do you do when your parents die?"
The Masque of the Red Death,Horror has a face.,He's the King of the Dead...
Viva Zapata!,A BANDIT WHO BECAME A LEGEND! Roaring Story of Mexico's Tiger on a White Horse!,He was a revolutionary.
The Cat and the Canary,"For God's sake, stay in your rooms and lock the doors!",It's not what you think...
Universal Soldier,The future has a bad attitude.,He's back...
Schoolgirl Report Part 5: What All Parents Should Know,"Young, Willing and Oh So Eager to Please!",The story of a girl who woke up one morning to find herself in a world
Cadence,Sometimes you've got to stand out to fit in.,The story of a man who rose to the top of his profession.
Problem Child,Attila the Hun. Ivan the Terrible. Al Capone. They were all seven once.,"A comedy about family, friendship, and love."
